SrNo,District Name,Taluka Name,Gram Panchayat,Taluka Latitude,Taluka Longitude,District Latitude,District Longitude,Month,Max Temp (°C),Min Temp (°C),Avg Temp (°C)
238,AHMADABAD,Mandal,SHER,23.2883831,71.9178854,,,,,,
239,AHMADABAD,Viramgam,CHUNINAPURA - SHIVPURA,23.1224522,72.0483946,,,,,,
240,AHMADABAD,Dholka,SHIYAWADA,22.726607,72.4411863,,,,,,
241,AHMADABAD,Bavla,KAVLA,22.8278859,72.3684741,,,,,,
242,AHMADABAD,Viramgam,KAYLA,23.1224522,72.0483946,,,,,,
243,AHMADABAD,Dholka,KESARGADH,22.726607,72.4411863,,,,,,
244,AHMADABAD,Bavla,KESRANDI,22.8278859,72.3684741,,,,,,
245,AHMADABAD,Dhandhuka,KHARAD,22.3816365,71.9791414,,,,,,
246,AHMADABAD,Dholka,KHARANTI - KALIYAPURA,22.726607,72.4411863,,,,,,
247,AHMADABAD,Dhandhuka,KHASTA,22.3816365,71.9791414,,,,,,
248,AHMADABAD,Dholka,KHATRIPUR,22.726607,72.4411863,,,,,,
249,AHMADABAD,Viramgam,KHENGARIYA,23.1224522,72.0483946,,,,,,
250,AHMADABAD,Dholka,SIMEJ,22.726607,72.4411863,,,,,,
251,AHMADABAD,Mandal,SINAJ,23.2883831,71.9178854,,,,,,
252,AHMADABAD,Dholka,SINDHRAJ,22.726607,72.4411863,,,,,,
253,AHMADABAD,Daskroi,SINGARVA,22.9538235,72.7502756,,,,,,
254,AHMADABAD,Dholera,SODHI,22.2495856,72.1959892,,,,,,
255,AHMADABAD,Viramgam,SOKALI,23.1224522,72.0483946,,,,,,
256,AHMADABAD,Mandal,SOLGAM - SADRA,23.2883831,71.9178854,,,,,,
257,AHMADABAD,Detroj-Rampura,SUJPURA,23.3291312,72.1639025,,,,,,
258,AHMADABAD,Dhandhuka,TAGADI,22.3816365,71.9791414,,,,,,
259,AHMADABAD,Sanand,TELAV,23.0238876,72.3851475,,,,,,
260,AHMADABAD,Viramgam,THORI MUBARAK,23.1224522,72.0483946,,,,,,
261,AHMADABAD,Viramgam,THORI THAMBHA,23.1224522,72.0483946,,,,,,
262,AHMADABAD,Viramgam,THORI VADGAS 263 AHMADABAD Viramgam THULETA,23.1224522,72.0483946,,,,,,
264,AHMADABAD,Dholka,TRANSAD,22.726607,72.4411863,,,,,,
265,AHMADABAD,Mandal,TRENT,23.2883831,71.9178854,,,,,,
266,AHMADABAD,Mandal,UGHROJ,23.2883831,71.9178854,,,,,,
267,AHMADABAD,Mandal,UGHROJPURA,23.2883831,71.9178854,,,,,,
268,AHMADABAD,Viramgam,UKHLOD,23.1224522,72.0483946,,,,,,
269,AHMADABAD,Dhandhuka,UMARGADH,22.3816365,71.9791414,,,,,,
270,AHMADABAD,Daskroi,UNDREL,22.9538235,72.7502756,,,,,,
271,AHMADABAD,Sanand,UPARDAL,23.0238876,72.3851475,,,,,,
272,AHMADABAD,Dholka,UTELIYA,22.726607,72.4411863,,,,,,
273,AHMADABAD,Viramgam,VADGAS,23.1224522,72.0483946,,,,,,
274,AHMADABAD,Dhandhuka,VAGAD,22.3816365,71.9791414,,,,,,
275,AHMADABAD,Daskroi,VAHELAL,22.9538235,72.7502756,,,,,,
276,AHMADABAD,Viramgam,VALANA,23.1224522,72.0483946,,,,,,
277,AHMADABAD,Dholera,VALINDA,22.2495856,72.1959892,,,,,,
278,AHMADABAD,Dholka,VALTHERA,22.726607,72.4411863,,,,,,
279,AHMADABAD,Daskroi,VANCH,22.9538235,72.7502756,,,,,,
280,AHMADABAD,Viramgam,VANI,23.1224522,72.0483946,,,,,,
281,AHMADABAD,Mandal,VANPARDI,23.2883831,71.9178854,,,,,,
282,AHMADABAD,Viramgam,VANTHAL,23.1224522,72.0483946,,,,,,
283,AHMADABAD,Mandal,VARMOR,23.2883831,71.9178854,,,,,,
284,AHMADABAD,Detroj-Rampura,VASNA (CHHANIYAR),23.3291312,72.1639025,,,,,,
285,AHMADABAD,Sanand,VASNA CHACHARAVADI,23.0238876,72.3851475,,,,,,
286,AHMADABAD,Bavla,VASNA DHEDHAL,22.8278859,72.3684741,,,,,,
287,AHMADABAD,Sanand,VASNA IYAVA,23.0238876,72.3851475,,,,,,
288,AHMADABAD,Dholka,VASNA KELIYA,22.726607,72.4411863,,,,,,
289,AHMADABAD,Mandal,VASNA KUNPUR,23.2883831,71.9178854,,,,,,
290,AHMADABAD,Bavla,VASNA NANODARA,22.8278859,72.3684741,,,,,,
291,AHMADABAD,Sanand,VASODARA,23.0238876,72.3851475,,,,,,
292,AHMADABAD,Viramgam,VASVELIYA,23.1224522,72.0483946,,,,,,
293,AHMADABAD,Dholka,VATAMAN,22.726607,72.4411863,,,,,,
294,AHMADABAD,Dholka,VAUTHA,22.726607,72.4411863,,,,,,
295,AHMADABAD,Mandal,VINCHHAN,23.2883831,71.9178854,,,,,,
296,AHMADABAD,Mandal,VINZUVADA,23.2883831,71.9178854,,,,,,
297,AHMADABAD,Sanand,VIROCHANNAGAR,23.0238876,72.3851475,,,,,,
298,AHMADABAD,Mandal,VITHLAPUR,23.2883831,71.9178854,,,,,,
299,AHMADABAD,Sanand,ZAMP,23.0238876,72.3851475,,,,,,
300,AHMADABAD,Daskroi,ZANU,22.9538235,72.7502756,,,,,,
301,AHMADABAD,Mandal,ZANZARAVA,23.2883831,71.9178854,,,,,,
302,AHMADABAD,Dhandhuka,ZANZARKA,22.3816365,71.9791414,,,,,,
303,AHMADABAD,Bavla,ZEKDA,22.8278859,72.3684741,,,,,,
304,AHMADABAD,Dhandhuka,ZINZAR,22.3816365,71.9791414,,,,,,
305,AHMADABAD,Sanand,ZOLAPUR,23.0238876,72.3851475,,,,,,
306,AHMADABAD,Viramgam,ZUND 307 AHMADABAD Detroj-Rampura KANZ,23.1224522,72.0483946,,,,,,
308,AHMADABAD,Bavla,Dumli,22.8278859,72.3684741,,,,,,
309,AHMADABAD,Daskroi,BIBIPUR,22.9538235,72.7502756,,,,,,
310,AHMADABAD,Daskroi,HIRAPUR,22.9538235,72.7502756,,,,,,
311,AHMADABAD,Detroj-Rampura,DABHSAR,23.3291312,72.1639025,,,,,,
312,AHMADABAD,Detroj-Rampura,RAMPURA,23.3291312,72.1639025,,,,,,
313,AHMADABAD,Detroj-Rampura,SOBHSHAN,23.3291312,72.1639025,,,,,,
314,AHMADABAD,Detroj-Rampura,SUNVALA,23.3291312,72.1639025,,,,,,
315,AHMADABAD,Dhandhuka,HADALA,22.3816365,71.9791414,,,,,,
316,AHMADABAD,Dholera,Sarasalapara,22.2495856,72.1959892,,,,,,
317,AHMADABAD,Dholera,Zankhi,22.2495856,72.1959892,,,,,,
318,AHMADABAD,Sanand,DADUKA,23.0238876,72.3851475,,,,,,
319,AHMADABAD,Sanand,DARAN,23.0238876,72.3851475,,,,,,
320,AHMADABAD,Sanand,Motipura,23.0238876,72.3851475,,,,,,
321,AHMADABAD,Sanand,Tajpur,23.0238876,72.3851475,,,,,,
322,AHMADABAD,Viramgam,JUNA PADAR - NILKI,23.1224522,72.0483946,,,,,,
323,AHMADABAD,Viramgam,BHAVDA,23.1224522,72.0483946,,,,,,
324,AHMADABAD,Viramgam,KARIYALA,23.1224522,72.0483946,,,,,,
325,AHMADABAD,Viramgam,DEVPURA,23.1224522,72.0483946,,,,,,
326,AHMADABAD,Detroj-Rampura,GITAPUR,23.3291312,72.1639025,,,,,,
327,AHMADABAD,Viramgam,ZEZRA,23.1224522,72.0483946,,,,,,
